Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Name
Ticker,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,
Date,,,,,,,,,,,,,,,,,,,,,
2013-01-29,33.14140701293945,41.741661071777344,40.712303161621094,41.01311111450195,33.14140701293945,41.81247127804985,40.861238319985986,41.11567294809893,32.76951079736154,41.06898099427095,40.37062524108899,40.75971682757316,32.76951079736154,41.502681690232365,40.502038026343136,40.856248861241404,2273500,2838600,302500,2246700,MRK
2013-01-30,33.23896026611328,41.396480560302734,40.62467956542969,41.290618896484375,33.25115385406869,41.78592666718416,40.90503077014645,41.429377891149315,32.95851472020614,41.19290622876808,40.46698159502026,40.99499310230439,33.10483312429287,41.62660703791054,40.659724301531774,41.23028409577888,2083500,4138800,299900,3114800,MRK
2013-01-31,32.9890022277832,40.909671783447266,40.79990005493164,41.47161865234375,33.22677141257018,41.44958792576894,41.202904495447676,41.58021487354745,32.84268147715844,40.883116261150946,40.55459358540884,41.08549977759729,33.16580578979537,41.272565741601895,40.6246797158225,41.24839641085287,3246600,3008800,389200,3308400,MRK
2013-02-01,33.025577545166016,40.96277618408203,41.85122299194336,41.53194046020508,33.1840918704796,41.24601032893518,41.97387623914383,41.87583226018624,32.94632270819844,40.84771463402236,40.83494893250331,41.50177766219035,33.11702829636148,41.12209581261409,41.097777796797224,41.61037386142147,1791400,3421100,597300,3691300,MRK
2013-02-04,32.96461486816406,40.29008102416992,40.89627456665039,41.236331939697266,33.01338922666879,41.16633528040701,41.605915490920054,41.59831784744439,32.903649245722576,40.2635288880464,40.80866606135548,41.182036124840444,32.92803409928552,40.93620888903229,41.56210789622235,41.4173271950211,1770300,4877200,668800,2703700,MRK
2013-02-05,33.110923767089844,40.30780029296875,40.931312561035156,41.55607223510742,33.35478849526234,40.706099382112214,41.272990354254894,41.658638633450984,33.068247381517445,39.81213882909938,40.87874546128993,41.314751446508204,33.110923767089844,40.45826696196878,41.01892105189417,41.32681564477856,1561200,9746500,276400,2869400,MRK
2013-02-06,33.13530731201172,40.75920486450195,40.96636962890625,41.6948356628418,33.17188806636238,40.85656724206593,41.36061467273847,41.700870063402114,32.86095979429151,40.12192967971357,40.440711798497276,41.296648078042345,32.98898894598607,40.34320658275258,40.80867495342434,41.47764327166009,1536300,4506900,572600,2642800,MRK
2013-02-07,33.110923767089844,40.18389129638672,40.73857879638672,41.652610778808594,33.30601647990328,41.14865883322633,41.12406091949394,41.76724139343737,32.97070102511072,40.02457163882289,40.4932722945958,41.27855613305662,33.17798499749748,40.83886910955536,40.99264815441328,41.586246170644536,1484900,4865100,411600,3111600,MRK
2013-02-08,33.110923767089844,40.71493911743164,40.94007110595703,41.628482818603516,33.14140656740033,40.84770657381602,41.38688308810982,41.65261582475943,32.921926684063074,40.201575220923154,40.68600180959954,41.4655907806764,33.025568670256455,40.26353584327475,40.68600180959954,41.55608380013575,1265700,1801700,744600,8084600,MRK
2013-02-11,33.12312316894531,40.49365997314453,41.01015853881836,41.71293640136719,33.171895192869,40.65297956118498,41.553338494907834,41.74913360078795,33.049961644526284,40.26353355509527,40.77361162034808,41.51384259875458,33.07434881933263,40.58216935475968,40.92254671232041,41.598305799335826,951100,2223700,354700,8209900,MRK
2013-02-12,33.3060417175293,39.8652458190918,40.764854431152344,41.930137634277344,33.3060417175293,40.51137394092856,41.132817469475114,41.930137634277344,33.019498060967585,39.82984070590192,40.65096405395356,41.664679174887674,33.068272438973985,40.484821794244866,41.1152951017407,41.688812180550386,1564900,3204600,443900,9078700,MRK
2013-02-13,33.34260940551758,39.28990936279297,39.8361930847168,41.98200607299805,33.40967299076934,40.05110212010891,40.84370418301771,42.335822412749046,33.26335455539241,38.732290863017035,39.67849511419144,41.7928994260174,33.29993300139184,39.944890198004586,40.756095684748054,41.97590450738002,1481500,7877100,938700,2638700,MRK
2013-02-14,33.2084846496582,39.85639572143555,39.24044418334961,41.481773376464844,33.354803085427065,40.33435465464988,39.93256265168836,42.158902696558094,33.019487483959686,39.22797011095986,39.21415896140458,41.371968496067836,33.26945027694696,39.28992737529308,39.801146568112706,41.493971850229116,2418700,5687200,704000,3359200,MRK
2013-02-15,33.48283767700195,39.272216796875,39.74858474731445,41.51836395263672,33.53161204722001,41.28141112304925,40.43194379382994,41.59156874086228,33.30603639918645,38.85621858937072,39.31929838909154,41.347557434238986,33.318229991740964,39.93604738751516,39.31929838909154,41.48176388558822,3188200,14019600,581900,2667800,MRK
2013-02-19,33.89130401611328,38.909332275390625,39.82743453979492,42.067386627197266,33.94007604499642,39.47580064269034,39.923805903550864,42.07348818951587,33.51940770241131,38.36941605767752,39.36310343302578,41.62816722282531,33.543794879697494,39.04209977615928,39.75734840200446,41.62816722282531,2812700,6584100,378800,2754300,MRK
2013-02-20,34.07419967651367,38.7677001953125,39.38938522338867,42.00029754638672,34.37293675320429,39.272211100912415,40.247961297097326,42.287010568234,33.8608177115125,38.537573776224455,39.38062570945455,41.920995826055965,33.87910692974432,38.856212953743665,39.80991207528371,42.00029754638672,2417000,4446700,395200,2152900,MRK
2013-02-21,33.9583625793457,40.28123474121094,39.091522216796875,41.988094329833984,34.09248738324756,40.79459863417315,39.880012366645474,42.13449927934493,33.90958823197129,38.57298063112687,38.942587045187274,41.85998941724573,34.02542614414107,38.59953277165365,39.31930974544258,41.890487927407065,1973500,6922500,420500,2294900,MRK
2013-02-22,34.3729362487793,40.74150085449219,40.36185073852539,42.37240219116211,34.37903187953745,40.90967345571307,40.42317735569389,42.390702225114964,33.95836358655606,40.0599676122613,39.494515243113746,42.00638754971899,34.01323356613528,40.352054734539166,39.70477697567718,42.01248911241283,1356400,3691600,714200,1857700,MRK
