Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume,Name
Ticker,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,
Date,,,,,,,,,,,
2013-08-02,4.151249885559082,,4.164999961853027,,4.103750228881836,,4.150000095367432,,5350400,,HON
2013-08-05,4.148749828338623,,4.162499904632568,,4.12624979019165,,4.137499809265137,,3008000,,HON
2013-08-06,4.099999904632568,,4.144999980926514,,4.09499979019165,,4.130000114440918,,2369600,,HON
2013-08-07,4.0625,,4.116250038146973,,4.046249866485596,,4.082499980926514,,2481600,,HON
2013-08-08,4.098750114440918,,4.12624979019165,,4.073750019073486,,4.082499980926514,,2072800,,HON
2013-08-09,4.125,,4.130000114440918,,4.083749771118164,,4.083749771118164,,1802400,,HON
2013-08-12,4.147500038146973,,4.162499904632568,,4.097499847412109,,4.097499847412109,,1912000,,HON
2013-08-13,4.161250114440918,,4.173749923706055,,4.127500057220459,,4.15500020980835,,1478400,,HON
2013-08-14,4.139999866485596,,4.15500020980835,,4.103750228881836,,4.151249885559082,,2699200,,HON
2013-08-15,4.070000171661377,,4.125,,4.051249980926514,,4.085000038146973,,3708800,,HON
2013-08-16,4.056250095367432,,4.090000152587891,,4.036250114440918,,4.071249961853027,,2808000,,HON
2013-08-19,4.053750038146973,,4.077499866485596,,4.023749828338623,,4.052499771118164,,2472000,,HON
2013-08-20,4.090000152587891,,4.098750114440918,,4.043749809265137,,4.0625,,2380000,,HON
2013-08-21,4.067500114440918,,4.09375,,4.057499885559082,,4.070000171661377,,1839200,,HON
2013-08-22,4.121250152587891,,4.128749847412109,,4.058750152587891,,4.071249961853027,,1316000,,HON
2013-08-23,4.088749885559082,,4.132500171661377,,4.0625,,4.132500171661377,,2100800,,HON
2013-08-26,4.09375,,4.137499809265137,,4.085000038146973,,4.085000038146973,,1659200,,HON
2013-08-27,4.018750190734863,,4.086249828338623,,4.008749961853027,,4.050000190734863,,2985600,,HON
2013-08-28,4.021249771118164,,4.041250228881836,,3.994999885559082,,4.021249771118164,,2027200,,HON
2013-08-29,4.025000095367432,,4.066249847412109,,4.012499809265137,,4.012499809265137,,1875200,,HON
2013-08-30,3.971250057220459,,4.050000190734863,,3.963749885559082,,4.03249979019165,,2605600,,HON
2013-09-03,3.978749990463257,,4.045000076293945,,3.9312500953674316,,4.014999866485596,,6880000,,HON
2013-09-04,4.011250019073486,,4.022500038146973,,3.976249933242798,,3.976249933242798,,4335200,,HON
2013-09-05,3.994999885559082,,4.046249866485596,,3.9912500381469727,,4.022500038146973,,3340800,,HON
2013-09-06,4.041250228881836,,4.058750152587891,,3.9825000762939453,,4.018750190734863,,6944000,,HON
2013-09-09,4.116250038146973,,4.119999885559082,,4.041250228881836,,4.043749809265137,,4633600,,HON
2013-09-10,4.177499771118164,,4.222499847412109,,4.139999866485596,,4.150000095367432,,8935200,,HON
2013-09-11,4.161250114440918,,4.197500228881836,,4.150000095367432,,4.162499904632568,,3617600,,HON
