Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Name
Ticker,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-21,118.47344970703125,54.6847038269043,55.28314208984375,24.01119041442871,8.206276893615723,58.79999923706055,118.91549347264886,55.1713979624904,55.57173244576301,24.26693872351332,8.380451087134729,60.650001525878906,118.34203025950143,54.31968032428884,54.796144574129336,22.941702881477756,8.125888951730007,58.310001373291016,118.6526545775892,55.1105597450792,54.796144574129336,23.174200480930214,8.333557641884799,60.650001525878906,4103353,393600,1941300,10891479,6352600,932100,WHR
2013-02-22,120.12215423583984,55.10297393798828,56.617881774902344,24.993499755859375,8.42734432220459,58.970001220703125,120.12215423583984,55.140999288424986,56.879417898973685,24.993499755859375,8.541227405385728,59.97999954223633,118.77809860962732,54.47179025260386,55.057688855859595,24.150695180830972,8.03880226389245,58.63999938964844,119.01106685315442,54.82920766003489,55.91444310765978,24.150695180830972,8.219675621486001,59.22999954223633,3250863,263400,3073900,8468938,12743300,520800,WHR
2013-02-25,117.98363494873047,53.787384033203125,55.93248748779297,24.290193557739258,8.266570091247559,57.54999923706055,120.95845904592326,55.40716312017852,57.03274067238525,25.27830980689011,8.53452996500488,59.59000015258789,117.98363494873047,53.787384033203125,55.923467101539615,24.28438147233052,8.259870934686942,57.5,120.4686297973675,55.40716312017852,56.753167183110506,25.185309317696607,8.494336303374649,59.0,4021661,324300,2495500,7448695,5286400,531400,WHR
2013-02-26,118.95728302001953,54.471771240234375,56.49162292480469,24.84817886352539,8.32016372680664,57.33000183105469,119.41127303657686,54.56302856831845,56.59984346243984,24.935364856226826,8.367056554357879,58.22999954223633,118.18071286989223,53.909032221678956,55.79720121446379,24.394807902730896,8.17278544738822,56.88999938964844,118.652627183048,54.045915312879124,55.92345908174962,24.499432518502754,8.300066891979949,57.560001373291016,3547614,279600,2054700,5357239,6271900,422600,WHR
2013-02-27,120.86286163330078,55.36152648925781,57.50168991088867,25.603797912597656,8.507731437683105,58.599998474121094,121.11374461396422,55.53642915448871,57.88046695701694,25.720046708597852,8.521129746804332,59.369998931884766,118.6347187215032,54.47938952805677,56.14892113521567,24.964430721705167,8.333557252306422,57.130001068115234,118.80795516441019,54.48699575754386,56.61788139028125,24.9702428053726,8.340256406867034,57.38999938964844,4377615,309200,2097100,5817891,6276800,677600,WHR
2013-02-28,119.96682739257812,55.49843215942383,58.14200210571289,25.5805606842041,8.561324119567871,59.290000915527344,121.33476602920966,55.772192711801424,58.313355016200894,26.004869092537067,8.635013548225714,59.650001525878906,119.94293468347912,55.1714337808596,57.44758039966337,25.45849975154145,8.480936174650168,58.529998779296875,120.7732492285767,55.4299876699378,57.50168894801214,25.574748598013244,8.507732156289403,58.97999954223633,4904903,310400,2473600,4884810,8177500,897400,WHR
2013-03-01,121.20935821533203,55.74174118041992,58.65605545043945,25.73748779296875,8.568025588989258,60.11000061035156,121.22727298503283,55.80257359377912,58.719184385299954,26.010672370960446,8.588122420930356,60.470001220703125,119.08874144769446,54.78355959733129,57.519727742412584,25.28992881720714,8.44744331960913,58.540000915527344,119.85933396834231,55.32348570316057,57.75420959212496,25.42361625120031,8.507734454299195,58.68000030517578,3460482,440900,2307300,4551046,6111900,634600,WHR
2013-03-04,122.5713119506836,55.77214050292969,59.765316009521484,25.888599395751953,8.594818115234375,60.220001220703125,122.5713119506836,55.931842228280175,59.78335677797977,25.89441147726184,8.601517269471412,60.88999938964844,120.99428805282808,55.2854465069713,58.4035338540197,25.53985313721189,8.474235894433734,59.619998931884766,121.01819029947983,55.764540079322586,58.502737438928726,25.62122702678294,8.52112933522649,60.220001220703125,3863296,331400,2519400,3682426,2587700,598700,WHR
2013-03-05,123.37171936035156,55.8330078125,61.21729278564453,26.307117462158203,8.668509483337402,60.5,124.07062384207458,56.251263402959566,61.2443539403386,26.38849380159435,8.728800611738416,61.689998626708984,122.86994398392974,55.658105148746436,59.90961907747621,26.010684410070684,8.608218993803092,59.93000030517578,122.97149274096994,55.99270381926099,60.0358769438978,26.0455593057666,8.63501497988502,60.27000045776367,3982959,357200,2678200,4641742,3580500,656200,WHR
2013-03-06,124.47683715820312,56.114383697509766,61.31650161743164,26.76629638671875,8.601518630981445,59.529998779296875,124.5425468645912,56.26647348410349,61.69528212960105,26.82442199465987,8.695304249678992,61.279998779296875,123.44938409538965,55.9470814511446,61.11809441594725,26.475675469667504,8.52113068401214,59.099998474121094,123.67040591974953,55.962288109062584,61.31650161743164,26.49311172751897,8.688605733248176,60.599998474121094,3760161,234200,2242000,4793472,2888400,778100,WHR
2013-03-07,125.09811401367188,56.02313232421875,61.262393951416016,26.87673568725586,8.766610145568848,60.810001373291016,125.20564074564915,56.26647948985509,61.50588932369314,26.899986407477428,8.786825054008723,61.95000076293945,124.39323137946862,55.810204279518715,60.99183742174066,26.713987768359928,8.584674041748912,59.599998474121094,124.42310203484057,56.11438968702765,61.31650250513574,26.806985900809508,8.591412558768987,59.689998626708984,4063082,182800,1496000,3040063,4964800,780300,WHR
2013-03-08,125.67156219482422,56.2664680480957,61.100040435791016,27.190597534179688,8.827255249023438,60.56999969482422,125.88660609889136,56.4033511635469,61.568997128305156,27.25453521103889,8.840731640039452,61.619998931884766,125.10406748155071,55.9927018171933,60.68519227842266,26.93485157517785,8.679011092125274,60.0,125.35495998146322,56.16761027654596,61.25335253906141,26.981350624612958,8.793563307552901,61.4900016784668,3870723,293700,1882300,3610577,4776100,509300,WHR
2013-03-11,125.49237823486328,57.11821746826172,60.02685546875,27.318471908569336,8.820518493652344,61.58000183105469,125.56406590972855,57.1790557314345,60.63109739626457,27.46378351028513,8.847471923687275,62.31999969482422,124.87112954564638,56.122015566695794,59.61200721796558,26.940662693795222,8.746396079090937,60.33000183105469,125.46848552130929,56.122015566695794,60.24330341914517,27.080162211317173,8.800303581781261,60.56999969482422,3189986,402000,3188200,4762419,3015700,334100,WHR
2013-03-12,125.77313232421875,56.874839782714844,59.846492767333984,26.870912551879883,8.780084609985352,62.25,125.88064952740655,57.11058067404022,60.261341043835934,27.43472032390475,8.827253576153154,62.630001068115234,124.90099113759084,56.669512204845056,59.702194124791745,26.86510046776891,8.739654801978906,60.81999969482422,125.086173955496,57.11058067404022,59.990784529338235,27.289408724260962,8.813776545070864,61.599998474121094,3756814,295800,1555000,4608761,3934000,411400,WHR
2013-03-13,126.67508697509766,57.34633255004883,59.747291564941406,26.586111068725586,9.015931129455566,62.68000030517578,126.85429178052514,57.445190332346556,60.25232307300112,26.91160686153686,9.083314384035312,62.75,125.30714869736185,56.65431066840413,59.71121690286025,26.533797549010906,8.793565168363518,61.56999969482422,125.56400955408787,56.912864469115206,60.07195664313358,26.87673197313308,8.813780080475395,62.650001525878906,3510271,305000,1685500,4888129,7182000,397700,WHR
2013-03-14,128.90919494628906,57.680931091308594,59.68416213989258,26.679107666015625,9.015931129455566,63.380001068115234,128.9450339997684,57.68853732126616,60.15311898204823,26.766293694941243,9.049623078055674,64.44000244140625,126.72884761374529,57.148611031348935,59.521829602119816,26.551234665310194,8.914855283655246,62.720001220703125,126.72884761374529,57.40716483137119,60.06293576784962,26.60935789318798,9.036146041567443,62.720001220703125,5758753,308800,2778000,3061693,3368900,415400,WHR
2013-03-15,128.38351440429688,57.901466369628906,59.007781982421875,26.53961181640625,8.968757629394531,63.380001068115234,128.9689237344511,58.01553661359651,59.82845823571327,26.708174186584255,9.06983277444989,64.5,127.48151247439505,57.29309560303742,58.99876159618783,26.475676494258504,8.914850157062226,62.970001220703125,128.65829954304664,57.39956541876651,59.50380001721354,26.6442364902183,9.029402330855687,63.04999923706055,8295094,522500,2502600,5229495,8078800,457500,WHR
2013-03-18,127.36209106445312,57.52882385253906,58.9897346496582,26.382673263549805,8.840729713439941,63.810001373291016,128.13268344702237,57.680913594434635,59.19715532200933,26.48729554290551,8.941805515824798,64.37000274658203,127.02159609069908,57.224638566896175,58.259234902997065,26.028112333253844,8.766607972453867,61.220001220703125,127.17691778356797,57.39954699174266,58.51175061570476,26.11530073167393,8.833991198090246,62.54999923706055,3144276,234900,1259400,3424367,4004500,248200,WHR
2013-03-19,127.49947357177734,57.63577651977539,58.88153839111328,26.12692642211914,8.726180076599121,63.439998626708984,128.50302454098477,57.89550340469133,59.18816279211836,26.487297084218678,8.894639153918101,64.3499984741211,126.53773007563589,57.02466506523414,58.32239127802474,26.01648967706818,8.652058313922106,62.5,127.91164663178044,57.65869822601065,58.95368773742284,26.2373631671701,8.88790063659645,63.849998474121094,3345736,397800,1851600,3570208,6528600,171900,WHR
2013-03-20,128.46717834472656,58.712867736816406,58.77330017089844,26.498924255371094,8.820518493652344,63.79999923706055,128.92116838678876,58.728143045822584,59.494779698590094,26.609358628813677,8.854210441851123,64.4000015258789,128.01318830266436,57.78855709871912,58.692137336315945,26.307111187683386,8.766611633582482,63.5,128.28797350547586,57.941333500965584,59.305392870692245,26.359424705859286,8.780088027289716,63.720001220703125,3157874,297900,1688300,5033970,5525400,135000,WHR
2013-03-21,126.7945327758789,57.93370056152344,58.890541076660156,26.074609756469727,8.726180076599121,64.93000030517578,127.23657628584643,59.12537880254918,59.09796178427268,26.469855221405226,8.833993783264008,65.5999984741211,125.51021923404288,57.71981123899359,57.99770866568635,26.033920418927142,8.672273223266677,63.41999816894531,127.2126835881504,58.76634779913969,58.3945230705636,26.330355704737457,8.766610537908644,63.5,6098598,402000,2608100,3064584,4710400,295000,WHR
2013-03-22,126.68701934814453,57.62812042236328,59.10697937011719,26.214113235473633,8.786824226379395,65.2699966430664,127.33813833232726,58.33854152317291,59.4226240497093,26.434986732182,8.800301259150148,65.68000030517578,126.41224376171333,57.32256189430806,58.5388189468514,26.150175545842796,8.699225441230379,64.01000213623047,126.76467539087466,58.26214752012597,58.899551791792106,26.15599000562393,8.753132287072805,65.13999938964844,3170949,417300,1339200,2988130,4934500,167800,WHR
2013-03-25,125.88658142089844,57.498268127441406,58.475677490234375,26.20829963684082,8.746394157409668,65.58000183105469,127.12310984593624,58.13230120777429,59.2963604585544,26.423358661352175,8.85420849648183,66.31999969482422,125.47440845728556,57.22327179601841,58.38549428769765,25.900240126033953,8.645318977641146,64.76000213623047,126.96181979885338,57.65105034272706,59.16108221448066,26.24317452242441,8.82725507236887,65.45999908447266,3391655,340700,2343000,3257111,5658900,151300,WHR
2013-03-26,126.85429382324219,57.857337951660156,59.27833557128906,26.603546142578125,8.807043075561523,65.7699966430664,126.9379278186946,58.01012026967686,59.45870200374998,26.63260894399166,8.807043075561523,66.80000305175781,126.34057210151775,57.360805617192526,58.61998501978384,26.21992476141679,8.61163051124737,65.27999877929688,126.50186214951917,57.74275267016001,58.872500777444465,26.417547537436583,8.780089640574074,65.79000091552734,2406114,192300,1987800,4601908,6278000,214800,WHR
2013-03-27,125.97620391845703,57.59756088256836,59.043861389160156,26.48729705810547,8.786824226379395,66.29000091552734,126.73484980032303,57.62811731653147,59.720245919726906,26.557046831144458,8.827254682071361,67.08999633789062,125.50429912187485,57.13922602920928,58.61097226216016,26.190864084016596,8.658795628158703,65.0,126.01802092261512,57.55172331760175,59.71122553276836,26.34198542664389,8.739655896922345,65.70999908447266,3371676,224000,1083000,3803639,5572100,276500,WHR
